MSN,StateCode,Year,Data
ARTXB,US,2003,1219538
ARTXB,US,2004,1303848
ARTXB,US,2005,1323238
ARTXB,US,2006,1261165
ARTXB,US,2007,1197041
ARTXB,US,2008,1011970
ARTXB,US,2009,873085
ARTXB,US,2010,877770
ARTXB,US,2011,859488
ARTXB,US,2012,826700
ARTXB,US,2013,783347
ARTXB,US,2014,792637
ARTXB,US,2015,831663
ARTXP,US,1960,110576
ARTXP,US,1961,113555
ARTXP,US,1962,121087
ARTXP,US,1963,124268
ARTXP,US,1964,126700
ARTXP,US,1965,134157
ARTXP,US,1966,140982
ARTXP,US,1967,138218
ARTXP,US,1968,148231
ARTXP,US,1969,152046
ARTXP,US,1970,163118
ARTXP,US,1971,167013
ARTXP,US,1972,171326
ARTXP,US,1973,190434
ARTXP,US,1974,175614
ARTXP,US,1975,152837
ARTXP,US,1976,150410
ARTXP,US,1977,159187
ARTXP,US,1978,174747
ARTXP,US,1979,173754
ARTXP,US,1980,144998
ARTXP,US,1981,124742
ARTXP,US,1982,124986
ARTXP,US,1983,136241
ARTXP,US,1984,149502
ARTXP,US,1985,155136
ARTXP,US,1986,163613
ARTXP,US,1987,170285
ARTXP,US,1988,171236
ARTXP,US,1989,165164
ARTXP,US,1990,176340
ARTXP,US,1991,162227
ARTXP,US,1992,166097
ARTXP,US,1993,173149
ARTXP,US,1994,176751
ARTXP,US,1995,177543
ARTXP,US,1996,177205
ARTXP,US,1997,184383
ARTXP,US,1998,190258
ARTXP,US,1999,199580
ARTXP,US,2000,192236
ARTXP,US,2001,189401
ARTXP,US,2002,186852
ARTXP,US,2003,183776
ARTXP,US,2004,196481
ARTXP,US,2005,199403
ARTXP,US,2006,190049
ARTXP,US,2007,180386
ARTXP,US,2008,152497
ARTXP,US,2009,131568
ARTXP,US,2010,132274
ARTXP,US,2011,129519
ARTXP,US,2012,124578
ARTXP,US,2013,118045
ARTXP,US,2014,119445
ARTXP,US,2015,125326
ARTXV,US,1971,878
