StateCode,Year,FFTCB(TOTAL),CLTCB(COAL),NNTCB(NATURALGAS),PMTCB(PETROLEUM)
AK,1960,54634,7189,2034,45411
AK,1961,64860,11552,2300,51009
AK,1962,71359,13559,4048,53752
AK,1963,72995,11999,5567,55429
AK,1964,76965,12029,6805,58130
AK,1965,79263,9888,7670,61705
AK,1966,94370,16431,12282,65658
AK,1967,106714,18462,11889,76363
AK,1968,114046,15998,17636,80412
AK,1969,148179,13191,42940,92048
AK,1970,173208,13159,64045,96004
AK,1971,191875,14121,68045,109708
AK,1972,205710,12753,75032,117926
AK,1973,189126,13286,63703,112137
AK,1974,193166,12485,63188,117493
AK,1975,223578,15271,85175,123133
AK,1976,245473,13706,90571,141196
AK,1977,282083,10259,116859,154964
AK,1978,313248,4689,145025,163533
AK,1979,289049,4182,157236,127631
AK,1980,287436,4310,153805,129321
AK,1981,270456,12521,122214,135721
AK,1982,400327,13182,237881,149264
AK,1983,428046,12403,239678,175964
AK,1984,471746,12883,258039,200824
AK,1985,462656,11587,214042,237028
AK,1986,493552,12150,208311,273092
AK,1987,487215,4330,251512,231373
AK,1988,508643,4362,288798,215483
AK,1989,557853,4719,321207,231926
AK,1990,565723,12387,326826,226510
AK,1991,585301,12675,367952,204675
AK,1992,608935,12509,383887,212539
AK,1993,603147,13630,375971,213546
AK,1994,599565,12578,367592,219395
AK,1995,681024,12882,432813,235329
AK,1996,696876,11152,443629,242095
AK,1997,693234,11719,425394,256122
AK,1998,709668,16471,434437,258761
AK,1999,714792,16394,422817,275581
AK,2000,729758,16455,437972,275331
AK,2001,718377,15911,413049,289417
AK,2002,714712,16429,420808,277476
AK,2003,713898,12552,415891,285455
AK,2004,756177,14075,407944,334158
AK,2005,781037,13994,434704,332339
AK,2006,732217,14981,375719,341517
AK,2007,708054,13662,372186,322206
AK,2008,635787,14705,343938,277143
AK,2009,622050,14505,343971,263575
AK,2010,634764,14548,334978,285237
AK,2011,635951,15481,339819,280652
AK,2012,629726,15521,347228,266978
AK,2013,596341,14819,332631,248891
AK,2014,581901,18225,329274,234402
AK,2015,598233,19511,337112,241609
AL,1960,822372,395400,190706,236266
AL,1961,806612,382455,191533,232625
AL,1962,868157,427177,201250,239730
AL,1963,905988,442465,211348,252175
AL,1964,946394,459000,230316,257078
AL,1965,1032354,533142,236949,262263
AL,1966,1097051,583457,240755,272839
AL,1967,1119607,580163,262055,277389
AL,1968,1221648,618335,296690,306623
AL,1969,1289679,641466,310822,337392
AL,1970,1335524,675603,307750,352170
AL,1971,1286000,626054,294838,365107
AL,1972,1362122,669734,287100,405288
AL,1973,1419323,688650,279958,450714
AL,1974,1412244,653405,282454,476384
AL,1975,1399787,640063,271747,487977
AL,1976,1397905,632096,232758,533051
AL,1977,1451879,629412,248715,573751
AL,1978,1400526,577580,244969,577978
AL,1979,1453286,670208,291485,491593
AL,1980,1389912,661023,278342,450546
AL,1981,1355609,629957,281022,444631
AL,1982,1204984,511059,253391,440534
AL,1983,1178279,532596,229993,415690
AL,1984,1239846,584607,239598,415641
AL,1985,1300824,662890,227780,410154
AL,1986,1296154,660525,210226,425403
AL,1987,1336119,660678,214611,460829
AL,1988,1359726,652717,243192,463817
AL,1989,1423726,682145,253577,488004
AL,1990,1417626,682496,252128,483003
AL,1991,1472050,723921,261476,486653
AL,1992,1555729,775653,287947,492128
AL,1993,1614204,812948,302250,499007
AL,1994,1599852,773804,299250,526798
AL,1995,1697960,828277,332399,537284
AL,1996,1768131,890742,337764,539624
AL,1997,1730236,867264,337431,525541
AL,1998,1717751,856479,341973,519299
AL,1999,1752758,866512,349076,537170
AL,2000,1833286,904181,368472,560633
AL,2001,1722132,842337,344004,535791
AL,2002,1799200,845999,389965,563236
AL,2003,1796405,873735,360483,562188
AL,2004,1856239,853917,391927,610394
AL,2005,1860797,890098,363398,607301
AL,2006,1900475,886678,402044,611753
AL,2007,1921281,888436,430649,602196
AL,2008,1824747,842826,414260,567660
AL,2009,1616408,630969,466272,519168
AL,2010,1785662,718684,544405,522573
AL,2011,1783785,651032,609288,523466
AL,2012,1740233,547004,677380,515849
AL,2013,1689479,565051,625869,498559
AL,2014,1723014,575912,650570,496531
AL,2015,1713999,494311,696411,523277
AR,1960,371044,356,222202,148486
AR,1961,375865,275,215311,160279
AR,1962,402264,160,235477,166628
AR,1963,426368,135,252846,173387
AR,1964,463730,186,278852,184692
AR,1965,457215,163,277661,179391
AR,1966,484656,111,289632,194913
AR,1967,495912,104,295756,200052
AR,1968,541582,132,321569,219881
AR,1969,587086,0,349990,237096
AR,1970,630225,0,383478,246746
AR,1971,604146,51,334979,269116
AR,1972,629107,50,317640,311417
AR,1973,682640,2262,327475,352902
AR,1974,647134,2665,290102,354366
AR,1975,599813,862,257445,341506
AR,1976,631980,3578,248194,380208
AR,1977,664291,5244,234379,424669
AR,1978,665018,22833,220898,421287
AR,1979,645767,31728,255010,359029
AR,1980,610574,36648,273987,299939
AR,1981,656156,101935,265043,289178
AR,1982,634365,125193,227389,281783
AR,1983,674066,177458,211726,284882
AR,1984,641906,163879,214432,263595
AR,1985,682991,219791,199350,263850
AR,1986,691171,224547,202982,263643
AR,1987,646760,211011,172340,263409
AR,1988,714267,218821,218787,276659
AR,1989,729945,203343,251139,275463
AR,1990,713222,212707,234465,266051
AR,1991,690739,215945,212680,262115
AR,1992,719103,220706,226598,271799
AR,1993,718112,200450,232682,284981
AR,1994,767304,222169,247187,297948
AR,1995,816648,237334,271956,307358
AR,1996,844346,260060,274991,309295
AR,1997,831697,246786,264019,320891
AR,1998,849555,254658,272888,322009
AR,1999,875812,267022,257666,351123
AR,2000,882085,267579,256114,358392
AR,2001,859692,273982,231590,354120
AR,2002,859994,255242,247899,356854
AR,2003,865888,253653,254571,357665
AR,2004,849511,270210,217921,361380
AR,2005,822384,247169,216600,358614
AR,2006,856790,256907,240885,358998
AR,2007,864991,275037,229610,360344
AR,2008,873000,278849,238424,355727
AR,2009,848957,264083,248100,336774
AR,2010,909803,293689,274774,341341
AR,2011,932832,306119,288906,337807
AR,2012,918015,296732,300572,320710
AR,2013,938466,327099,288045,323322
AR,2014,940103,339214,273009,327880
AR,2015,838827,226889,296742,315196
AZ,1960,261910,210,140275,121426
AZ,1961,286116,211,159093,126812
AZ,1962,305529,6291,163461,135778
AZ,1963,322246,8432,169533,144282
AZ,1964,331235,9103,174623,147509
AZ,1965,318872,7030,166063,145778
AZ,1966,341080,7373,174448,159259
AZ,1967,344236,7184,169085,167967
AZ,1968,386730,8137,189965,188628
AZ,1969,420086,8381,210332,201372
AZ,1970,426321,8623,204383,213315
AZ,1971,456013,8876,225898,221239
AZ,1972,509993,7523,241355,261115
AZ,1973,562130,9927,226325,325878
AZ,1974,579109,48359,204955,325795
AZ,1975,563589,92449,164346,306795
AZ,1976,627537,139960,180181,307396
AZ,1977,707488,179847,176449,351192
AZ,1978,703765,159980,186366,357419
AZ,1979,772665,246230,180580,345855
AZ,1980,720320,244994,173970,301356
AZ,1981,796136,319438,192208,284490
AZ,1982,757090,336245,142323,278523
AZ,1983,705081,295442,120418,289221
AZ,1984,763697,324862,126844,311990
AZ,1985,796491,342013,137315,317164
AZ,1986,735674,295888,105103,334683
AZ,1987,746189,282882,121301,342006
AZ,1988,785400,309041,128594,347765
AZ,1989,857319,353144,151468,352707
AZ,1990,821494,343415,130781,347299
AZ,1991,830159,347261,128178,354720
AZ,1992,868850,369743,133771,365336
AZ,1993,887986,389839,118159,379989
AZ,1994,930683,402390,139733,388560
AZ,1995,879167,342889,127945,408333
AZ,1996,898554,342839,125265,430450
AZ,1997,938073,369872,137588,430613
AZ,1998,1016590,386770,161086,468734
AZ,1999,1066187,403262,167770,495155
AZ,2000,1144386,432810,208137,503439
AZ,2001,1183282,424023,244424,514835
AZ,2002,1188639,406479,255247,526913
AZ,2003,1219677,406537,275650,537490
AZ,2004,1340408,425413,356264,558730
AZ,2005,1332032,428445,329302,574285
AZ,2006,1380388,431985,365230,583174
AZ,2007,1413021,438524,401992,572505
AZ,2008,1412471,458727,409966,543778
AZ,2009,1290735,413260,377504,499971
AZ,2010,1292321,457909,336208,498204
AZ,2011,1253940,459909,293134,500897
AZ,2012,1247956,420570,339043,488343
AZ,2013,1288993,454865,340375,493754
AZ,2014,1255904,447849,315916,492139
AZ,2015,1258052,385822,365536,506694
CA,1960,3176223,35903,1301826,1838493
CA,1961,3353873,59106,1400174,1894593
CA,1962,3404231,39681,1483423,1881127
CA,1963,3587210,46127,1623370,1917713
CA,1964,3900194,53723,1817241,2029231
CA,1965,3968446,63693,1813213,2091540
CA,1966,4255290,51515,1982305,2221470
CA,1967,4354651,53949,2048734,2251968
CA,1968,4648351,57011,2187260,2404081
CA,1969,4708602,60031,2189883,2458688
CA,1970,4806416,61812,2241295,2503309
CA,1971,4972552,51015,2265324,2656212
CA,1972,5086532,47452,2303562,2735518
CA,1973,5270729,66956,2154045,3049728
CA,1974,4871800,60670,1937140,2873991
CA,1975,4971979,56405,1937322,2978252
CA,1976,5162842,66630,1849711,3246501
CA,1977,5552369,75109,1864187,3613073
CA,1978,5370543,67892,1646333,3656318
CA,1979,5704530,68565,1900357,3735609
CA,1980,5435689,66170,1890887,3478632
CA,1981,5237875,78401,1947370,3212104
CA,1982,4709930,69415,1765171,2875343
CA,1983,4613211,32022,1601037,2980152
CA,1984,4991844,37243,1739833,3214768
CA,1985,5097678,45264,1925459,3126955
CA,1986,4821686,42519,1591045,3188123
CA,1987,5359200,44951,1992956,3321293
CA,1988,5428277,50824,1860391,3517062
CA,1989,5683570,66427,2047845,3569298
CA,1990,5692736,84160,2101602,3506974
CA,1991,5553699,89519,2208285,3255895
CA,1992,5633110,91515,2294135,3247460
CA,1993,5459215,84669,2213111,3161434
CA,1994,5730548,84616,2334777,3311155
CA,1995,5512662,84323,2109956,3318383
CA,1996,5481047,80324,2017680,3383042
CA,1997,5563538,82651,2185029,3295858
CA,1998,5804462,66157,2418688,3319617
CA,1999,5877136,69547,2379558,3428032
CA,2000,6103048,70012,2456438,3576598
CA,2001,6172713,67839,2513856,3591018
CA,2002,6098528,70010,2318656,3709862
CA,2003,5909544,69469,2317062,3523013
CA,2004,6204346,68909,2462247,3673189
CA,2005,6115996,67422,2304463,3744111
CA,2006,6232667,67017,2375929,3789722
CA,2007,6334957,66495,2467545,3800918
CA,2008,6098017,63050,2472612,3562355
CA,2009,5860272,52403,2391374,3416495
CA,2010,5741400,54972,2325411,3361017
CA,2011,5550014,55264,2196252,3298498
CA,2012,5687073,43832,2456371,3186871
CA,2013,5746792,38151,2480792,3227848
CA,2014,5684179,39486,2409574,3235118
CA,2015,5774857,30967,2381665,3362225
CO,1960,425083,68206,194963,161913
CO,1961,462650,76938,210872,174840
CO,1962,465484,79296,202310,183877
CO,1963,459464,88958,180366,190140
CO,1964,490549,89600,205251,195697
CO,1965,501320,98117,204483,198720
CO,1966,529344,109021,207693,212630
CO,1967,549820,107862,210209,231749
CO,1968,617854,112995,253481,251377
CO,1969,637387,104487,268895,264005
CO,1970,664120,115688,274987,273445
CO,1971,675159,105682,281846,287631
CO,1972,731949,119005,301651,311293
CO,1973,779938,140487,311694,327757
CO,1974,764127,138302,302725,323099
CO,1975,766989,159333,280996,326660
CO,1976,806388,185147,276287,344953
CO,1977,832971,223762,253994,355216
CO,1978,828416,218619,234600,375198
CO,1979,839722,238041,260824,340858
CO,1980,820358,247615,244771,327972
CO,1981,782002,278732,201432,301838
CO,1982,801295,276433,216115,308747
CO,1983,781861,254698,207120,320043
CO,1984,833650,286888,220950,325812
CO,1985,835860,299070,209799,326991
CO,1986,819777,295376,190320,334081
CO,1987,831968,296539,201536,333893
CO,1988,866443,311372,218567,336503
CO,1989,884672,323462,240556,320654
CO,1990,896246,337375,232296,326575
CO,1991,930937,330609,268787,331541
CO,1992,939706,339652,259036,341018
CO,1993,998563,347233,286366,364964
CO,1994,1004154,359375,272152,372627
CO,1995,1011146,344201,288383,378562
CO,1996,1058165,350712,315855,391598
CO,1997,1046442,362423,311900,372120
CO,1998,1096798,364889,328897,403012
CO,1999,1108517,364236,330896,413386
CO,2000,1193543,387879,366094,439570
CO,2001,1318361,400028,464062,454271
CO,2002,1283543,390480,457708,435355
CO,2003,1288997,394163,436873,457961
CO,2004,1322498,390186,440720,491592
CO,2005,1355314,386670,478520,490124
CO,2006,1360715,394348,458911,507456
CO,2007,1415844,388586,512841,514418
CO,2008,1381399,385416,508491,487493
CO,2009,1343445,350224,525999,467223
CO,2010,1370739,382623,505628,482487
CO,2011,1304864,368871,477208,458786
CO,2012,1282295,370085,456471,455739
CO,2013,1301508,363532,480875,457101
CO,2014,1317806,350526,497182,470099
CO,2015,1298287,340107,492567,465613
CT,1960,493505,101694,29449,362362
CT,1961,504671,107540,31424,365707
CT,1962,524313,112064,33355,378894
CT,1963,533241,117384,35575,380282
CT,1964,549362,120798,38627,389937
CT,1965,557446,128613,41720,387113
CT,1966,597601,136198,48744,412659
CT,1967,606349,109548,50826,445975
CT,1968,622445,82430,54053,485962
CT,1969,644203,59211,58405,526587
CT,1970,669177,48577,61543,559057
CT,1971,643253,36411,62417,544425
CT,1972,674388,4249,65032,605106
CT,1973,693405,2625,63548,627232
CT,1974,647815,6522,67139,574154
CT,1975,598995,1272,64331,533393
CT,1976,623116,1152,66382,555582
CT,1977,616685,1167,64709,550810
CT,1978,630339,807,66038,563493
CT,1979,603101,1070,68752,533278
CT,1980,576727,364,74033,502331
CT,1981,514588,904,77126,436558
CT,1982,515107,763,79253,435091
CT,1983,505150,712,76286,428152
CT,1984,551310,1489,83245,466575
CT,1985,551175,21316,80208,449651
CT,1986,573353,21216,80962,471174
CT,1987,581359,21396,94504,465459
CT,1988,611639,23112,90697,497830
CT,1989,634366,23762,101745,508860
CT,1990,586890,38511,108843,439536
CT,1991,580678,38582,115683,426413
CT,1992,587709,39166,126132,422411
CT,1993,561665,37303,125793,398568
CT,1994,555745,38584,134374,382787
CT,1995,549818,40787,144867,364164
CT,1996,582874,41120,139102,402653
CT,1997,621331,44982,148585,427765
CT,1998,585058,32569,134891,417597
CT,1999,613903,15231,155870,442802
CT,2000,629188,36246,163696,429245
CT,2001,608724,39991,149344,419389
CT,2002,598625,34206,181665,382754
CT,2003,633749,41864,157252,434633
CT,2004,661553,43997,165862,451693
CT,2005,657592,42023,171150,444419
CT,2006,613685,45722,175870,392093
CT,2007,601225,39931,183604,377690
CT,2008,555629,45188,169802,340639
CT,2009,554500,26265,188570,339664
CT,2010,562039,28711,203814,329514
CT,2011,557242,6081,236016,315144
CT,2012,544303,9290,236260,298753
CT,2013,558637,7679,240102,310855
CT,2014,560703,9097,242227,309379
CT,2015,582088,6536,260931,314621
DC,1960,100628,27792,12951,59884
DC,1961,95626,25770,13721,56136
DC,1962,95758,22437,14742,58579
DC,1963,94443,18598,15335,60510
DC,1964,104552,18111,16266,70176
DC,1965,123449,13804,17315,92330
DC,1966,135482,23936,17611,93935
DC,1967,146906,22600,21923,102383
DC,1968,155362,23692,22957,108713
DC,1969,177940,32544,25229,120167
DC,1970,184239,28427,26402,129410
DC,1971,164463,15432,27663,121369
DC,1972,157958,12557,28976,116424
DC,1973,164688,14060,28177,122451
DC,1974,138226,12288,27559,98379
DC,1975,112312,10142,26210,75960
DC,1976,111599,5844,29040,76714
DC,1977,114303,3991,26212,84100
DC,1978,108602,2017,26551,80034
DC,1979,90525,2889,30129,57506
DC,1980,78936,3284,27950,47702
DC,1981,72188,2406,29428,40354
DC,1982,78558,3064,29731,45763
DC,1983,76450,3040,29633,43776
DC,1984,79548,2475,29802,47271
DC,1985,72351,3489,29336,39526
DC,1986,79552,1359,29972,48221
DC,1987,77087,1742,31422,43924
DC,1988,76575,781,33079,42715
DC,1989,78318,1488,33757,43073
DC,1990,68790,1733,29095,37963
DC,1991,68680,1653,31287,35739
DC,1992,68989,1254,33187,34547
DC,1993,71592,1279,33325,36988
DC,1994,70578,1169,31188,38220
DC,1995,70341,143,33201,36997
DC,1996,69849,575,34213,35061
DC,1997,68423,983,34826,32614
DC,1998,65029,155,31235,33640
DC,1999,66573,151,32964,33458
DC,2000,69050,177,34377,34495
DC,2001,64783,741,30577,33465
DC,2002,67208,99,33688,33422
DC,2003,63672,173,33700,29798
DC,2004,64390,741,33097,30552
DC,2005,63369,939,33753,28676
DC,2006,52330,0,29775,22555
DC,2007,55944,502,33856,21587
DC,2008,51661,391,32774,18496
DC,2009,57197,331,34339,22527
DC,2010,58154,71,33717,24367
DC,2011,55886,48,33389,22449
DC,2012,49023,77,29389,19556
DC,2013,52765,4,33725,19036
DC,2014,55718,48,35302,20367
DC,2015,54709,44,33742,20922
DE,1960,154089,20496,9351,124241
DE,1961,148214,20776,9708,117729
DE,1962,160865,22586,14999,123280
DE,1963,172034,26494,17082,128458
DE,1964,172966,29241,17826,125899
DE,1965,181904,29030,18742,134132
DE,1966,194447,38690,19845,135912
DE,1967,188616,40712,21948,125957
DE,1968,203824,44082,25069,134673
DE,1969,213898,41720,26949,145229
DE,1970,218321,37238,26949,154133
DE,1971,217923,36677,26981,154266
DE,1972,222373,23493,24569,174311
DE,1973,239106,21047,23408,194651
DE,1974,231945,21254,20772,189919
DE,1975,216487,22938,18975,174573
DE,1976,225549,20186,19662,185701
DE,1977,223919,17713,16261,189945
DE,1978,224494,21812,21263,181420
DE,1979,241895,23914,25758,192223
DE,1980,243939,28063,30783,185093
DE,1981,220849,50618,31576,138655
DE,1982,198608,47947,28694,121967
DE,1983,231454,73014,35491,122949
DE,1984,245845,72797,43852,129196
DE,1985,233901,71436,39443,123022
DE,1986,228058,66423,33594,128041
DE,1987,239088,70471,37254,131363
DE,1988,243929,69034,29928,144966
DE,1989,238728,61212,35883,141634
DE,1990,234646,59491,35620,139535
DE,1991,234960,56853,38967,139140
DE,1992,231315,46120,37201,147995
DE,1993,250191,63469,39346,147377
DE,1994,246302,57477,47255,141570
DE,1995,241583,52448,62738,126397
DE,1996,249396,50779,55934,142684
DE,1997,228229,48586,48140,131503
DE,1998,220407,45817,42322,132269
DE,1999,230227,35915,58089,136223
DE,2000,231276,50147,50175,130954
DE,2001,228775,38335,51817,138623
DE,2002,228502,40536,53782,134183
DE,2003,231638,46997,47971,136670
DE,2004,230854,53599,49722,127533
DE,2005,240843,56716,48639,135488
DE,2006,224177,56625,44787,122764
DE,2007,233748,63839,49932,119978
DE,2008,223597,60891,49749,112957
DE,2009,171701,33938,51651,86113
DE,2010,171411,30253,56086,85072
DE,2011,201514,17881,81710,101923
DE,2012,221197,17384,104421,99392
DE,2013,214149,18254,100682,95213
DE,2014,213757,10238,107051,96469
DE,2015,217320,7149,107819,102351
FL,1960,782262,27176,142900,612186
FL,1961,819739,36267,148894,634578
FL,1962,918329,39644,162843,715842
FL,1963,958113,43281,179441,735391
FL,1964,1007349,46691,189595,771063
FL,1965,1069815,55189,191669,822958
FL,1966,1134685,70146,220568,843971
FL,1967,1177760,96160,234326,847274
FL,1968,1306357,103172,286653,916532
FL,1969,1405955,104100,326855,975000
FL,1970,1533027,116720,350626,1065681
FL,1971,1635867,117154,350527,1168187
FL,1972,1763285,123613,311235,1328436
FL,1973,1909361,152578,324892,1431890
FL,1974,1795817,146604,302002,1347211
FL,1975,1803909,133463,292139,1378308
FL,1976,1920230,141836,300867,1477527
FL,1977,1978061,159934,315950,1502177
FL,1978,2089770,175522,333306,1580941
FL,1979,2188929,202251,357014,1629663
FL,1980,2206288,225457,329567,1651264
FL,1981,2218606,236471,357470,1624666
FL,1982,1996001,240178,339099,1416724
FL,1983,2057545,318946,321009,1417590
FL,1984,2015955,378652,318172,1319132
FL,1985,2102085,472352,305057,1324676
FL,1986,2261884,459413,298928,1503543
FL,1987,2370336,586620,313553,1470163
FL,1988,2497237,611464,305758,1580015
FL,1989,2548558,636640,337182,1574736
FL,1990,2542951,633390,341993,1567567
FL,1991,2556718,650316,360992,1545410
FL,1992,2588481,649439,371137,1567905
FL,1993,2640815,654527,368011,1618277
FL,1994,2751712,663382,417702,1670628
FL,1995,2865597,686924,579310,1599363
FL,1996,2914096,745817,561145,1607134
FL,1997,2954510,751335,547201,1655975
FL,1998,3118235,749474,529565,1839197
FL,1999,3139118,716280,583448,1839390
FL,2000,3245265,760439,574460,1910366
FL,2001,3240134,725890,569757,1944486
FL,2002,3323077,719670,708638,1894769
FL,2003,3371725,723832,714826,1933067
FL,2004,3552925,699055,757672,2096198
FL,2005,3609979,672309,805446,2132224
FL,2006,3634166,696215,917468,2020483
FL,2007,3606001,720824,943845,1941332
FL,2008,3384799,693161,970038,1721600
FL,2009,3244666,581517,1081725,1581425
FL,2010,3491509,637416,1180462,1673631
FL,2011,3357741,552730,1235953,1569058
FL,2012,3327494,482984,1348390,1496120
FL,2013,3273705,505155,1245287,1523263
FL,2014,3339170,557882,1241250,1540038
FL,2015,3454643,466530,1366309,1621804
GA,1960,579391,88950,188460,301981
GA,1961,575829,90769,186255,298805
GA,1962,614901,87199,199380,328322
GA,1963,654894,115509,195667,343718
GA,1964,699726,123813,215579,360334
GA,1965,763379,152600,219774,391005
GA,1966,834434,177237,243089,414108
GA,1967,885404,165942,265271,454192
GA,1968,979004,194909,295289,488806
GA,1969,1048368,202716,324940,520713
GA,1970,1089764,193155,342834,553775
GA,1971,1169440,219607,353199,596635
GA,1972,1256739,261592,341408,653740
GA,1973,1349922,271501,358532,719889
GA,1974,1318234,283947,339589,694698
GA,1975,1303244,311988,335376,655879
GA,1976,1343635,347552,268375,727708
GA,1977,1445526,415733,271811,757982
GA,1978,1475559,434380,286035,755144
GA,1979,1537020,469598,324478,742944
GA,1980,1539313,521518,325263,692533
GA,1981,1530405,552108,325103,653194
GA,1982,1481986,535439,303335,643212
GA,1983,1573781,584816,303129,685836
GA,1984,1725117,681531,315287,728299
GA,1985,1787180,725678,289572,771931
GA,1986,1732683,692512,286490,753682
GA,1987,1813461,710572,311055,791834
GA,1988,1855181,698991,330859,825331
GA,1989,1789652,666790,325560,797302
GA,1990,1849009,714128,319199,815682
GA,1991,1755773,643363,331599,780812
GA,1992,1759988,613139,351369,795480
GA,1993,1889151,655174,359989,873988
GA,1994,1919545,685757,351897,881891
GA,1995,2033422,723817,383385,926219
GA,1996,2094771,723082,393417,978272
GA,1997,2089308,767969,381712,939627
GA,1998,2108985,767394,378549,963042
GA,1999,2144649,782617,347107,1014924
GA,2000,2256045,819530,421262,1015253
GA,2001,2147460,772021,362643,1012795
GA,2002,2208549,807121,393127,1008301
GA,2003,2244135,819031,390760,1034344
GA,2004,2321866,834991,406436,1080440
GA,2005,2450179,901010,427825,1121345
GA,2006,2416683,892732,433920,1090030
GA,2007,2444383,934773,455220,1054389
GA,2008,2270680,885849,436093,948737
GA,2009,2194257,723449,475240,995567
GA,2010,2324161,767906,540943,1015312
GA,2011,2142459,634756,531596,976106
GA,2012,1946800,435546,624338,886915
GA,2013,1925755,426184,634635,864936
GA,2014,1981135,482657,664808,833671
GA,2015,1986190,394665,712041,879484
HI,1960,94563,0,0,94563
HI,1961,113514,0,0,113514
HI,1962,108092,0,0,108092
HI,1963,113862,0,0,113862
HI,1964,122052,0,0,122052
HI,1965,129324,0,0,129324
HI,1966,144196,0,0,144196
HI,1967,162479,0,0,162479
HI,1968,181145,0,0,181145
HI,1969,189117,0,0,189117
HI,1970,195419,0,0,195419
HI,1971,210416,0,0,210416
HI,1972,216597,0,0,216597
HI,1973,222815,0,0,222815
HI,1974,210590,0,0,210590
HI,1975,212931,0,0,212931
HI,1976,218424,0,0,218424
HI,1977,232006,0,0,232006
HI,1978,235835,0,0,235835
HI,1979,255413,0,0,255413
HI,1980,249648,0,0,249648
HI,1981,223223,0,0,223223
HI,1982,204905,1149,0,203756
HI,1983,206427,1040,0,205387
HI,1984,217055,941,0,216113
HI,1985,233247,1124,0,232124
HI,1986,228014,395,0,227619
HI,1987,230627,1573,159,228895
HI,1988,269265,1242,0,268024
HI,1989,280892,795,0,280098
HI,1990,293484,721,0,292763
HI,1991,267639,1063,0,266575
HI,1992,279242,6750,0,272492
HI,1993,255049,15575,0,239475
HI,1994,273944,15740,0,258204
HI,1995,272429,19914,0,252515
HI,1996,259174,20371,0,238803
HI,1997,251074,20513,0,230561
HI,1998,251859,18223,0,233636
HI,1999,247681,17691,0,229990
HI,2000,253044,17653,76,235315
HI,2001,257856,17774,134,239948
HI,2002,274350,16618,140,257593
HI,2003,287667,18044,137,269486
HI,2004,300992,17913,155,282923
HI,2005,310623,16506,195,293921
HI,2006,311836,16102,179,295556
HI,2007,320988,17107,173,303708
HI,2008,257548,18095,148,239305
HI,2009,256596,17083,167,239346
HI,2010,259011,17117,161,241733
HI,2011,265492,16080,158,249255
HI,2012,256735,16572,187,239976
HI,2013,252953,15306,197,237449
HI,2014,251639,17241,167,234231
HI,2015,253588,15632,194,237762
IA,1960,594998,115945,193688,285365
IA,1961,593426,104513,211826,277087
IA,1962,620498,114293,221026,285179
IA,1963,628123,116201,220538,291384
IA,1964,649269,112797,244609,291863
IA,1965,671158,126638,249988,294532
IA,1966,687830,125400,244028,318402
IA,1967,730493,120832,278580,331081
IA,1968,765166,120036,303746,341384
IA,1969,800744,127011,325026,348707
IA,1970,829449,130867,351800,346782
IA,1971,830935,124704,347740,358491
IA,1972,866872,144863,347617,374392
IA,1973,913863,148656,369016,396191
IA,1974,877338,128173,371639,377526
IA,1975,854446,131562,348564,374320
IA,1976,894861,169471,313917,411473
IA,1977,884868,185141,281367,418360
IA,1978,855854,201296,238754,415805
IA,1979,938276,219445,292191,426639
IA,1980,855462,234425,270333,350704
IA,1981,835130,252126,253927,329077
IA,1982,822707,243876,238917,339913
IA,1983,796841,253663,223581,319597
IA,1984,802931,251547,238314,313070
IA,1985,774940,268806,191609,314525
IA,1986,744482,262130,163616,318737
IA,1987,755132,287346,157888,309898
IA,1988,820647,306130,196345,318172
IA,1989,808791,317665,178635,312492
IA,1990,812045,334999,172149,304897
IA,1991,842267,349273,188083,304910
IA,1992,823930,329253,179626,315052
IA,1993,882001,344102,196652,341246
IA,1994,902749,348935,198503,355311
IA,1995,945738,372311,210496,362931
IA,1996,973616,383702,223127,366787
IA,1997,963289,391698,208360,363231
IA,1998,997571,424859,184856,387855
IA,1999,1036451,432009,201472,402971
IA,2000,1046226,445888,203042,397297
IA,2001,1020468,443921,193445,383103
IA,2002,1034129,441534,194041,398554
IA,2003,1018527,444587,197629,376311
IA,2004,1057896,443221,198017,416658
IA,2005,1071089,429777,210742,430569
IA,2006,1080308,435187,207162,437959
IA,2007,1152333,465167,264166,423000
IA,2008,1209120,485218,297357,426545
IA,2009,1148739,444574,283990,420175
IA,2010,1187433,493794,278751,414888
IA,2011,1155694,463138,277576,414980
IA,2012,1092661,422595,266283,403783
IA,2013,1129284,402402,306419,420463
IA,2014,1137943,401151,311352,425440
IA,2015,1068909,348293,303048,417568
ID,1960,113293,16845,22776,73671
ID,1961,119612,17103,24808,77701
ID,1962,125853,18028,26709,81115
ID,1963,124245,16589,28366,79290
ID,1964,135344,18234,33014,84097
ID,1965,138813,15863,36092,86858
ID,1966,141855,14867,38992,87995
ID,1967,153729,13401,35929,104399
ID,1968,162655,11552,40387,110717
ID,1969,158228,9853,42389,105986
ID,1970,162519,7935,49411,105173
ID,1971,172731,12157,53152,107423
ID,1972,184657,10531,60084,114042
ID,1973,187871,10636,59296,117939
ID,1974,186911,11362,55285,120264
ID,1975,202735,13416,63776,125543
ID,1976,195386,15162,49843,130381
ID,1977,195325,12102,48269,134954
ID,1978,201653,11424,46570,143659
ID,1979,204098,11856,56792,135450
ID,1980,173999,9610,51646,112743
ID,1981,156564,9801,48107,98657
ID,1982,149285,10358,42849,96078
ID,1983,146999,9466,36833,100700
ID,1984,148123,9020,40341,98762
ID,1985,152002,8870,41115,102018
